iter	Passed	Remaining
0	5	5196
1	13	6972
2	22	7623
3	29	7340
4	39	7812
5	49	8188
6	73	10443
7	83	10336
8	96	10587
9	103	10250
10	115	10353
11	120	9934
12	132	10031
13	146	10340
14	164	10771
15	172	10614
16	180	10452
17	187	10230
18	192	9920
19	201	9885
20	206	9648
21	211	9419
22	218	9293
23	231	9394
24	243	9510
25	248	9305
26	255	9204
27	261	9067
28	267	8941
29	273	8833
30	280	8769
31	287	8704
32	293	8606
33	298	8481
34	304	8395
35	309	8293
36	318	8294
37	326	8261
38	333	8229
39	349	8389
40	354	8301
41	374	8540
42	386	8607
43	410	8926
44	418	8887
45	424	8801
46	433	8785
47	437	8675
48	443	8614
49	457	8687
50	461	8584
51	465	8485
52	470	8414
53	475	8336
54	479	8238
55	484	8166
56	488	8081
57	492	7997
58	497	7935
59	502	7875
60	507	7807
61	511	7735
62	514	7656
63	518	7586
64	523	7524
65	526	7445
66	529	7379
67	533	7315
68	536	7243
69	540	7186
70	544	7128
71	548	7072
72	554	7035
73	558	6989
74	563	6947
75	567	6898
76	570	6842
77	573	6781
78	577	6727
79	583	6709
80	589	6682
81	592	6637
82	595	6579
83	598	6528
84	602	6483
85	605	6436
86	608	6387
87	612	6345
88	616	6307
89	622	6295
90	626	6254
91	631	6231
92	636	6206
93	640	6174
94	644	6139
95	649	6118
96	653	6085
97	657	6051
98	660	6012
99	663	5971
100	666	5933
101	670	5900
102	674	5873
103	680	5858
104	684	5833
105	688	5806
106	692	5777
107	696	5749
108	700	5727
109	704	5702
110	708	5674
111	712	5647
112	715	5620
113	721	5604
114	726	5592
115	730	5564
116	738	5575
117	746	5576
118	751	5561
119	755	5539
120	758	5508
121	762	5490
122	767	5469
123	776	5484
124	782	5478
125	789	5474
126	796	5476
127	801	5462
128	809	5463
129	814	5449
130	818	5430
131	823	5416
132	833	5434
133	837	5409
134	842	5398
135	846	5379
136	852	5371
137	856	5349
138	861	5335
139	865	5316
140	871	5307
141	874	5285
142	877	5258
143	880	5233
144	883	5211
